tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100501f	100	530	40	-	1.16	152.0	14.00	7.00	0.81	0.87	0.87	0.13	0.03	4.05	3.95	4.94	-1.00
su100501f	100	545	40	-	1.15	146.7	15.00	8.00	0.87	0.92	0.91	0.12	0.03	3.29	3.10	4.62	-1.00
su100501f	100	560	40	-	1.13	140.2	16.00	8.00	0.91	0.96	0.94	0.12	0.03	2.68	2.88	4.39	-1.00
su100501f	150	530	40	-	1.17	158.6	13.00	7.00	0.75	0.82	0.82	0.14	0.03	3.34	3.95	4.44	-1.00
su100501f	150	545	40	-	1.16	151.1	14.00	8.00	0.81	0.87	0.86	0.13	0.03	2.69	3.10	4.10	-1.00
su100501f	150	560	40	-	1.14	142.8	15.00	8.00	0.85	0.90	0.89	0.13	0.03	2.17	2.88	3.86	-1.00
su100501f	200	560	40	-	1.14	143.3	14.00	8.00	0.81	0.86	0.84	0.13	0.04	1.70	2.88	3.16	-1.00
su100501g	0	500	40	-	1.03	72.2	13.00	6.00	0.82	0.79	0.80	0.19	0.03	4.77	3.19	4.85	-1.00
su100501g	0	515	40	-	1.03	71.3	14.00	7.00	0.90	0.87	0.90	0.17	0.02	3.61	4.56	4.52	-1.00
su100501g	0	530	40	-	1.02	69.6	15.00	7.00	0.97	0.93	0.95	0.16	0.02	2.81	4.10	4.23	-1.00
su100501g	0	545	40	-	1.02	68.1	16.00	8.00	1.01	0.96	0.98	0.16	0.02	2.24	7.57	4.00	-1.00
su100501g	0	560	40	-	1.02	66.6	17.00	8.00	1.03	0.98	0.99	0.15	0.02	1.89	7.26	3.79	-1.00
su100501g	0	580	40	-	1.02	64.5	18.00	8.00	1.06	1.00	1.00	0.15	0.03	1.68	6.77	3.62	-1.00
